Title,Storyline
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.
Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four days together over the course of a year that will change their lives forever."
The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life."
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
Furiosa: A Mad Max Saga,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
The Life of Chuck,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz."
The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village."
Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him."
The Haunted Apartment: Miss K,"""Four days. Sunset!"" That was the only time left for those who had entered room 610. In a matter of 4 days they would all be dead."
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.
Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
Better Man,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams."
The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud."
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
Homestead,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
Subservience,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly."
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend."
Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
Eden,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Galapagos.
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Superboys of Malegaon,"The journey of an aspiring filmmaker as he bands together his group of friends to make a film for his town, Malegaon."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
The Room Next Door,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation."
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival."
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Lucky Baskhar,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.
Nickel Boys,A powerful friendship develops between two young African-American men as they navigate the harrowing trials of reform school together.
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Kryptic,"A woman searches for a missing monster hunter, realizing she has an inextricable bond with the creature being pursued."
The Unholy Trinity,Buried secrets of an 1870s Montana town spark violence when a young man returns to reclaim his legacy and is caught between a sheriff determined to maintain order and a mysterious stranger hell-bent on destroying it.
The Rule of Jenny Pen,"Confined to a secluded rest home and trapped within his stroke-ridden body, a former Judge must stop an elderly psychopath who employs a child's puppet to abuse the home's residents with deadly consequences."
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
Riff Raff,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
The Beast Within,"After a series of strange events leads her to question her family's isolated life on a fortified compound deep in the English wilds, 10-year-old Willow follows her parents on one of their secret late-night treks to the heart of the forest."
My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Y2K,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.
The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
Werewolves,"After a worldwide pandemic the previous year of people turning into werewolves after a super-moon event, two scientists try to stop the mutation from happening again as part of a team effort, but the experiment goes wildly awry."
The Seed of the Sacred Fig,"An investigating judge struggles with paranoia amid political unrest in Tehran caused by the death of a young woman. When his gun goes missing, he suspects his wife and daughters, imposing harsh measures that fray family ties."
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
Bir Cumhuriyet Sarkisi,"In 1930s Turkey, a handful of young, talented and determined people strive to realize an artistic revolution in a fledgling country."
The Silent Hour,A detective with hearing loss and a deaf witness to a murder must lean on each other to outsmart killers they can't hear coming when cornered in an abandoned apartment block.
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
The Six Triple Eight,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time."
Bonjour Tristesse,Cécile's relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne.
Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
The Uninvited,"A stranger crashes a party, sparking a comedy of errors, and a reordering of life."
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
Bagman,"When a sinister threat from his childhood returns to haunt him, a father desperately struggles against his deepest inner fear. Only this time, the fight isn't for himself; it's for his family."
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Bob Trevino Likes It,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life."
Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up."
Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Immaculate,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Lilly,An emotional drama about a courageous factory worker who fights for justice when cheated and mistreated by her company. Based on the life of Lilly Ledbetter.
Fighter,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.
Dead Mail,"An ominous help note finds its way to a 1980s post office, connecting a dead letter investigator to a kidnapped keyboard technician."
Bring Them Down,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland."
How to Make Millions Before Grandma Dies,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money."
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity."
In a Violent Nature,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it."
Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down."
Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.
Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
Frewaka,"Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function."
Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
Turtles All the Way Down,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.
Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere."
Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
Pushpa: The Rule - Part 2,"A smuggling kingpin faces off against a vengeful rival while manipulating politics, making big deals, and navigating tense confrontations. A public apology leads to a dramatic showdown, ending with challenge."
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
MadS,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn."
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her."
Lilies Not for Me,A gay novelist and his psychiatric nurse bond over a series of doctor-ordered 'dates' as he tells the story of a friendship which spiraled out of control when they turned to a risky procedure to cure themselves of feelings for each other.
Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man."
Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
Time Cut,High school student accidentally travels back to 2003 and decides to stop the serial killer who murdered her sister.
The Girl with the Needle,"Copenhagen 1919: A young worker finds herself unemployed and pregnant. She meets Dagmar, who runs an underground adoption agency. A strong connection grows but her world shatters when she stumbles on the shocking truth behind her work."
Sacramento,"An energetic and free-spirited young man convinces his long-time friend, who's settled into domestic life, to go on an impromptu road trip from Los Angeles to Sacramento."
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Black Dog,"Released from jail, Lang returns to his hometown in Northwest China. As part of a dog patrol tasked with clearing stray dogs before the 2008 Olympics, he bonds with a black stray. The two lonely souls embark on a new journey together."
Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
The Killer's Game,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues."
Unit 234,"After the shocking discovery of an unconscious man in a locked unit, the lone employee of a remote storage facility must fight to survive the night against a ruthless gang, dead set on retrieving their precious cargo - at any cost."
Nr. 24,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero."
The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
Never Let Go,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.
Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
Sister Midnight,A genre-bending comedy about a frustrated and misanthropic newlywed who discovers certain feral impulses that land her in unlikely situations.
The First Omen,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
"Husband, Father, Killer: The Alyssa Pladl Story","Alyssa has a relationship with abusive Steven as a teen, has his child but gives it up for adoption. Years later, their daughter seeks them out, and Steven manipulates her into an affair, neglecting his family."
Culpa Tuya,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
Old Guy,"Follows a contract killer facing the end of his career who is thrilled when The Company pulls him back into the field training Gen Z newcomer Wihlborg, a prodigy assassin with an attitude."
Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate."
Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat . A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,"A struggling writer in the midst of a divorce befriends a retired serial killer who incidentally becomes his marriage counselor by day, and killing counselor for his next book by night."
Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
Tina,"A woman, grieving her daughter's death in the Christchurch quakes, becomes a substitute teacher at an elite school. Unexpectedly, she discovers students lacking guidance and care, prompting her to provide inspiration and support."
Mothers' Instinct,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond."
William Tell,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe's nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral nation."
Rumours,"The leaders of seven wealthy democracies get lost in the woods while drafting a statement on a global crisis, facing danger as they attempt to find their way out."
Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame."
